Country,Segment,Date,observed_default_rate,observed_loss_rate,estimated_pd,estimated_lgd
Belgium,Retail - Qualifying Revolving,Dec-21,1.17%,18.91%,0.74%,49.97%
Belgium,Retail - Other Retail,Dec-21,1.18%,23.86%,1.53%,31.98%
Bulgaria,Corporates,Dec-21,3.48%,,1.44%,27.70%
Bulgaria,Corporates - Of Which: Specialised Lending,Dec-21,,,1.81%,28.26%
Bulgaria,Corporates - Of Which: SME,Dec-21,6.06%,,2.55%,25.05%
Bulgaria,Retail,Dec-21,3.08%,64.52%,2.11%,24.59%
Bulgaria,Retail - Secured on real estate property,Dec-21,2.63%,57.20%,1.62%,18.41%
Bulgaria,Retail - Qualifying Revolving,Dec-21,2.57%,93.58%,3.13%,32.53%
Bulgaria,Retail - Other Retail,Dec-21,4.34%,70.89%,3.37%,40.67%
Croatia,Corporates,Dec-21,0.41%,,4.31%,41.32%
Croatia,Corporates - Of Which: Specialised Lending,Dec-21,,,1.14%,18.15%
Croatia,Corporates - Of Which: SME,Dec-21,,,5.30%,41.37%
Croatia,Retail,Dec-21,0.72%,14.71%,2.31%,42.48%
Croatia,Retail - Secured on real estate property,Dec-21,0.32%,14.76%,1.60%,33.53%
Croatia,Retail - Qualifying Revolving,Dec-21,1.74%,52.88%,2.10%,62.35%
Croatia,Retail - Other Retail,Dec-21,0.95%,14.61%,2.78%,48.04%
Cyprus,Corporates,Dec-21,0.95%,,2.61%,27.76%
Cyprus,Corporates - Of Which: Specialised Lending,Dec-21,,,6.81%,22.49%
Cyprus,Corporates - Of Which: SME,Dec-21,,,0.97%,11.28%
Cyprus,Retail,Dec-21,0.40%,52.76%,1.06%,37.47%
Cyprus,Retail - Secured on real estate property,Dec-21,,,0.88%,14.23%
Cyprus,Retail - Qualifying Revolving,Dec-21,1.85%,,1.31%,62.03%
Cyprus,Retail - Other Retail,Dec-21,0.80%,50.96%,1.13%,44.27%
Czech,Corporates,Dec-21,0.55%,38.26%,2.44%,33.66%
Czech,Corporates - Of Which: Specialised Lending,Dec-21,0.36%,34.87%,2.00%,26.93%
Czech,Corporates - Of Which: SME,Dec-21,1.09%,39.98%,3.38%,31.94%
Czech,Retail,Dec-21,0.57%,34.59%,1.22%,25.89%
Czech,Retail - Secured on real estate property,Dec-21,0.36%,19.60%,0.91%,20.34%
Czech,Retail - Qualifying Revolving,Dec-21,0.50%,56.80%,1.45%,54.78%
Czech,Retail - Other Retail,Dec-21,1.17%,47.00%,2.10%,40.25%
Denmark,Corporates,Dec-21,0.50%,19.53%,0.91%,22.29%
Denmark,Corporates - Of Which: Specialised Lending,Dec-21,,,1.26%,21.78%
Denmark,Corporates - Of Which: SME,Dec-21,0.25%,29.42%,1.41%,20.48%
Denmark,Retail,Dec-21,0.60%,14.16%,0.82%,17.98%
Denmark,Retail - Secured on real estate property,Dec-21,0.58%,10.38%,0.77%,15.85%
Denmark,Retail - Qualifying Revolving,Dec-21,1.38%,31.82%,1.34%,62.21%
Denmark,Retail - Other Retail,Dec-21,0.77%,43.68%,1.86%,43.37%
Estonia,Corporates,Dec-21,0.69%,32.27%,1.90%,42.36%
Estonia,Corporates - Of Which: Specialised Lending,Dec-21,,,1.13%,33.19%
Estonia,Corporates - Of Which: SME,Dec-21,,,1.90%,40.51%
Estonia,Retail,Dec-21,0.44%,29.65%,1.49%,16.18%
Estonia,Retail - Secured on real estate property,Dec-21,0.43%,29.52%,1.21%,13.25%
Estonia,Retail - Qualifying Revolving,Dec-21,1.55%,61.98%,2.19%,60.96%
Estonia,Retail - Other Retail,Dec-21,0.43%,31.61%,2.75%,29.21%
Finland,Corporates,Dec-21,1.39%,17.36%,0.98%,35.07%
Finland,Corporates - Of Which: Specialised Lending,Dec-21,,,0.51%,27.73%
Finland,Corporates - Of Which: SME,Dec-21,1.92%,,1.46%,31.80%
Finland,Retail,Dec-21,1.26%,6.03%,1.36%,20.31%
Finland,Retail - Secured on real estate property,Dec-21,1.19%,3.52%,1.00%,16.74%
Finland,Retail - Qualifying Revolving,Dec-21,0.78%,56.47%,1.77%,63.54%
Finland,Retail - Other Retail,Dec-21,1.59%,14.42%,3.10%,33.04%
France,Corporates,Dec-21,0.64%,21.27%,1.57%,34.09%
France,Corporates - Of Which: Specialised Lending,Dec-21,0.85%,11.95%,1.31%,21.21%
France,Corporates - Of Which: SME,Dec-21,1.31%,23.49%,2.48%,34.48%
France,Retail,Dec-21,0.47%,21.85%,1.35%,18.26%
France,Retail - Secured on real estate property,Dec-21,0.27%,10.95%,1.02%,13.85%
France,Retail - Qualifying Revolving,Dec-21,0.85%,40.83%,2.58%,34.52%
France,Retail - Other Retail,Dec-21,0.85%,26.54%,1.71%,24.21%
Germany,Corporates,Dec-21,0.45%,28.70%,0.85%,36.52%
Germany,Corporates - Of Which: Specialised Lending,Dec-21,0.71%,18.99%,0.78%,33.01%
Germany,Corporates - Of Which: SME,Dec-21,0.80%,32.18%,1.09%,32.89%
Germany,Retail,Dec-21,0.67%,25.43%,0.88%,27.77%
